Question ID,Answer Given,Time,Uri's Score,Yehonatan's Score,Rachel's Score (Tie braker),Final score,Time (without screenhots)
5,"As I see it, the function returns a list of the bigger elements in the original list by opposite direction",480000,0,0,,0,480023.6
5,takes a list of strings and sorting them according to their last character in ascending order,368000,10,10,,10,387275
5,"This is a ""bubble sort"" algorithm.
 it seems to sort lists of strings, by the last characters of the strings.",249082.2,10,10,,10,249082.2
5,לולאה בתוך לואלה כאשר הלולאה הפנימית רצה עד המקום של החיצונית וכאשר המטרה הסופית היא מיון הליסט,242888.6,6,6,,6,242888.6
6,sort the string alphabetically,103485,6,6,,6,103485
6,"gets a list of strigs
 returns a list of sorted strings (smallest would be in 0), sorted by their last character",186421.7,10,10,,10,186421.7
6,Bubble sort strings by last char,190511,10,10,,10,190511
6,reverse string,22351.69,0,0,,0,22351.69
6,Going over an array and sorting it (bubble sort),175652.3,6,6,,6,175652.3
6,sort a list of strings according to the last letter in the string?,186017.8,10,10,,10,186017.8
6,Bubble sort of strings by their last character,137181,10,10,,10,137181
6,sort the last character of the words in the str_list (?),170175.2,10,10,,10,170175.2
6,sort,113288.5,6,6,,6,113288.5
6,"ממיין רשימת מחרוזות בסדר האלפבית לפי האות האחרונה ?
 המילה הראשונה תהיה זאת שהאות האחרונה שלה באה קודם באייביסי",407627.5,10,10,,10,407627.5
6,Lexicographically sorting a list of strings by last char in a string,194077.1,10,10,,10,194077.1
6,"am not sure , i think the code iterates over a list of strings and sorts the list by alphabetical order of the last letter in each string
 it`s a brute force technique to sort i think",340000,10,10,,10,343500
6,looks like bubble sort,80000,6,6,,6,88416.36
6,Bubble sort,54857.54,6,6,,6,54857.54
6,this program does a bobble sort to the list of lists by the last key in a every list. the program compares every to lists by its last key and switches between them if they aren`t in the order.,225000,10,10,,10,227400.1
7,Replaces the first max_insert_count occurrences of my_char in str1 with str2.,262746,6,6,,6,262746
7,"return sub string of max_insert_count of my_char.
 substring from the beginning until last occurrence (or max_insert_count).",194686.8,2,2,,2,194686.8
7,insert str2 in str1 after each occurrence of char while the number of occurrences is less than max_insert_count,449933.6,10,10,,10,449933.6
7,"Insert str2 after every my_char inside str1.
 Do this insertion in the first max_insert_count times (of my_char inside str1)",251201.6,10,10,,10,251201.6
7,"To insert str2 after each appearance of my_char in str1, up to max_insert_count",130298.9,10,10,,10,130298.9
7,Output a string that is obtained from str1 by inserting the string str2 after each of the first max_insert_count (or less) appearances of the character my_char,451774.4,10,10,,10,451774.4
7,"insert str2 after every instance of my_char in str1, as long as the number of inserts is less or equal to max_insert_count",157356.6,10,10,,10,157356.6
7,"finds ""my_char"" in ""str1"" and returns a modified string with the resulting string beginning with ""mychar""",466147,0,0,,0,466147
7,Insert str2 into str1 after each of the first max_insert_count appearances of my_char,288353.7,10,10,,10,288353.7
7,merge strings,316531.9,4,4,,4,316531.9
7,Finds locations of `my_char` in `str1` and inserts full content of `str2` into these locations. At most `max_insert_count` inserts are performed.,167389.4,10,10,,10,167389.4
7,"cur_ind out of for loop - it is wrong...? (last line)
 
 אולי משרשר את מחרוזת 2 אחרי כל תו מסויים במחרוזת אחת
 כאילו אחרי כל תו ספסציפי (מיי צ`אר) מכניס את סטרינג2",311054.6,8,8,,8,311054.6
7,this code insert letters from a string if this letter is the same as a parameter given and we didn`t exceed the number of insertion maximum,215000,6,10,6,6,221666
7,this code insert a,17344,0,0,,0,17344
7,if my char in str1 the func return every char in str1 with str2 between them,414000,4,2,4,4,420348
7,insert the string str2 into str1 right after the first max_insert_count occurrences of my_char,290368.1,10,5,10,10,290368.1
7,"Inserts string2 into between slices of string1.
 Slices string1 according to a given charechter",179000,8,4,8,8,190711.3
7,"copy words from str1 without the a single word given as a parameter, and agfter that words copying str2 to it",369570.4,4,8,4,4,369570.4
7,"this function is hard to understand.
 this function goes over the letters in the first string and compares the chars to a specific char. if they are the same` the function adds the next char to the result and then adds the other string.",252000,0,6,0,0,285211.6
7,"the code will return a string. the string is based on str1, but the diffrance is that the output str will be with str2  after each appearance of my_char on str1. max_insert_count is the maximal num the code will add str2 to str1. if my_char appears more than max_insert_count, the code will return a str based on str1 and the addionatls tsuntil the last appearance of my_char ",480000,10,10,,10,480104
7,This code `inject` str2 in every place of str1 where my char appear (including my char),107000,8,8,,8,110406.8
7,the function concrate str2 with part to str1 that appear my char,150406.5,4,4,,4,150406.5
7,"the function gets 2 strings, and goes over all chars of the first, if a char is equal to the identical input char param (my_char) then insert it from the left two the second input string (str2)",278371.2,8,8,,8,278371.2
7,"Return a string that is the same as str1, except for the fact that after each time my_char appears in str1, we place str2 (for a maximum of max_inset_count)",296000,10,10,,10,318700.7
8,"returns a string where every appearance of my_char in str1 is replaced with str2, (limited in ""max_insert_count"" times)",297011.8,6,6,,6,297011.8
8,"this is a weird way to iterate a [length] number of times.
 
 we are searching for a character(mychar) on str1. 
 if we find the character, and have not inserted more than the max, 
 we insert(probably) into str2: the string between the previous character we found(without it), up to the current found thing, and str2 .
 
 then the rest of the string?
 returning the result.#bye",480804,6,6,,6,480804
8,Split the string by my_char upto max_insert_count times,260124.6,0,0,,0,260124.6
8,inserts str2 into str1 after my_char at most max_inset_count times,108156.9,10,10,,10,108156.9
8,"This code will return a string. It will add str2 into str1 after the first ""max_insert_count"" instances of ""my_char"".",225268.1,10,10,,10,225268.1
8,take the wanted char with string 2 as long as char exist in max_insert_count location,119389.2,0,0,,0,119389.2
8,inserts str2 up to max_inert_count times whereever my_char appears in str1,258784.9,6,8,6,6,258784.9
8,"Replaces every appearance of ""my_char"" inside ""str1"" ""str2""",241358,4,4,,4,241358
8,It is supposed to insert str2 at every place in str1 where a certain character appears.,180609.3,8,8,,8,180609.3
8,"return a string that contains str1, but also adds str2 after each appearance of my_char in str1 (limited to max_insert_count times to do so)",305050.3,10,10,,10,305050.3
8,"return string when after each my_char in str1, str2 is added",439524.5,8,8,,8,439524.5
8,insert str2 after every appirance of my_char (with max insert times),297421.5,10,10,,10,297421.5
8,"add to res strings that start and end with some character. up until max_insert_count strings. concatanate to each such string a str2 string.
 return that string",372797.9,6,9,6,6,372797.9
8,"add to string res all the substring of str1 that starts and ends with some char my_char, and concatenate to them some str2",140631.1,4,7,7,7,140631.1
8,"add to string str all the substrings of str1 that starts and ends with my_char, up until max_insert_count substrings.",136687,6,9,6,6,136687
8,insert str2 between the letters of str1,170000,4,4,,4,172714.1
8,"this function returns str1 additioned with str2 after evrey ""my_char"" until max_insert_count",361833,10,10,,10,361833
8,As long as we find my_char in str1 we can replace it by str2 if we still add it as a number of times smaller than max_insert_count,161000,6,10,6,6,167866.2
8,"the code define two index`s counters and am empty string
 then it iterates over str1 and everytime the char we are at in the current iteration equals the constant char we passed as an argument and also the insert counter havent reached the max value we passed to it:
 we update the unsert sounter
 adds the string we set t the beggining all the chars from str1 we passed so far, update the second index counter so the next time we wont add chars we already added 
 at the end er add the last past from str1 we reached in the iterations",474000,2,2,,2,480166
8,"The code seems to create a new string, that adds str2 after each appearance of my_char in str1. It does so only max_insert_count times at the most. 
 There seems to be an error in line 11, as cur_ind is used out of scope of the loop in which it was defined.",468393.2,10,10,,10,468393.2
8,"For max_insert_counts first times, changes my_char in str1 to str 2",159422.8,6,6,,6,159422.8
8,"insert str2 to str1 after every appearance of my_char, up to a given number of maximum inserts.",279909.1,10,10,,10,279909.1
15,line 50,2453.61,0,0,,0,2453.61
15,"אולי בשורה האחרונה - הכינו את השני לפני הראשון בקריאה הרקורסיבית....? 
 (בעדכון של התוצאה)",367296.3,0,0,,0,367296.3
15,"26, Would never stop",423148.2,0,0,,0,423148.2
15,LIne 14 If re,480053,0,0,,0,480053
15,"the carry is always positive, so the recurssion call wouldnt stop.
 change the recursion call.",420000,0,0,,0,416074
15,in the recursion call. you called the function recursively with the original numbers. line 26,449179,0,0,,0,449179
16,Line 15 - should use base and not 10,253818.8,0,0,,0,253818.8
16,Problem is in line 15. It should be res += diff * (base ** power),439930.3,0,0,,0,439930.3
16,"line 8
  (num1 % base) - (num2 %base) - carry",380922.1,0,0,,0,380922.1
16,while num1 > 1 or num2 > 1 => line 6,284065.3,0,0,,0,284065.3
16,sorry i couldnt find the error in the given time,470000,0,0,,0,475270
16,"line 21 should receive num2 and num1 as arguments, not original",468382.3,0,0,,0,468382.3
16,ואולי אין צורך גם בלולאה וגם ברקורסיה כיוון שאם נעבור בלולאה נגיע גם להכל,356150.5,0,0,,0,356150.5
18,"In line 5, should be bigger than 0 rather than 1",415873.7,0,0,,0,415873.7
18,"8
 The problem is that: (high - low) / 2 can be a float. For example if low is 0 and high is 9 the result would be 4.5 which cause a running time error.",240655.9,10,10,,10,240655.9
18,line 5 - change to >= 1,374726,0,0,,0,374726
19,7. An issue with indexing,472402.3,5,5,,5,472402.3
19,7. float will be given,140296.5,5,7,5,5,140296.5
19,Change to > instead of >= on line 5,472059,0,0,,0,472059
19,7 -,364607.4,5,5,,5,364607.4
19,"7
 
 should be cur_len+1, in case we have an odd sized array",398457.8,5,6,5,5,398457.8
19,cant figure it out,470000,0,0,,0,475444
19,7 - need floor,468000,10,10,,10,471509.5
19,"7
 half_len should be rounded to an integer.",262220.7,10,10,,10,262220.7
20,binary_search,47265.39,0,0,,0,47265.39
20,"8
 
 The range can be odd. The division needs to be using `//`",222043.9,10,10,,10,222043.9
20,on the line 8 we calculate hight - low / 2 but it can be a float number that can`t represent an index. to fix it we can do int of the value,480094,10,10,,10,480094
20,on the line 8 we calculate (high_border - low_border) / 2 but it can be a float number that couldn`t serve as index. to fix it we can do int of the result.,102000,10,10,,10,106457
20,line 8: //2,348000,10,10,,10,351413
20,"לא בטוחה, כמחלקים את הגבול העליון והתחתון ב2 אז יכול להווצר מצב שקיבלנו מספר לא שלם וזה לא תקין כי אינדקס לא יכול להיות מספר שלם",447000,10,9,10,10,457927.9
20,"cant find a problem, maybe double // in lines 15 18 so that high_border and low_border will be type int.",446000,10,10,,10,449413
20,"8, no integer division",307000,5,8,8,8,310532.4
20,Line 12 < instead of >,480000,0,0,,0,480011.3
20,chake that boundaroes of array make check if that low_border + (high_border - low_border) / 2 less with len( ordered_list),252934.2,0,0,,0,252934.2
20,"i think the number of the line where the first error is found is 15. We can fix the problem by putting parenthesis after the digit ""2"". 
 (i hope so!) :(",467000,0,0,,0,468463.2
20,line 8 - not sure I understand but maybe the divison should be `//` and not `/`?,177013.4,10,10,,10,177013.4
20,"I dont know, it looks okay",210768,0,0,,0,210768
20,I don`t know,188892.5,0,0,,0,188892.5
20,"The first error is in line 14. To fix this, we need to change the ""low_border +"" to ""high_border -""",441000,0,0,,0,453493.6
